STAID,STANAME,CN,LAT,LON,HGHT
967,TULCEA,RO,45.183056,28.816667,4
969,SULINA,RO,45.166667,29.733056,3
970,CASEMENT AERODROME,IE,53.305833,6.438889,94
972,ROSIORI DE VEDE,RO,44.1,24.983056,102
978,KOLKA,LV,57.746667,22.589444,5
982,SKULTE,LV,57.3,24.4,9
986,ALUKSNE,LV,57.439167,27.035278,197
988,PAVILOSTA,LV,56.9,21.2,9
990,SALDUS,LV,56.675278,22.503333,112
993,DOBELE,LV,56.6,23.3,44
997,ZILANI,LV,56.5,25.9,109
1040,ROROS,NO,62.566944,11.383333,628
1041,KONGSBERG IV,NO,59.663056,9.65,168
1042,LYNGOR FYR,NO,58.633333,9.150278,4
1043,TVEITSUND,NO,59.026944,8.520556,252
1044,LINDESNES FYR,NO,57.983056,7.048056,13
1045,LISTA FYR,NO,58.11,6.568056,14
1046,SOLA,NO,58.884167,5.636667,7
1047,SAUDA,NO,59.648333,6.363056,5
1048,GARDERMOEN,NO,60.206389,11.080278,202
1049,TAKLE,NO,61.026667,5.385,38
1051,TAFJORD,NO,62.233333,7.416667,15
1052,VAERNES,NO,63.5,10.89,12
1053,RENA - HAUGEDALEN,NO,61.159167,11.4425,240
1054,KJOBLI I SNAASA,NO,64.16,12.47,195
1055,ORLAND,NO,63.700278,9.601389,10
1056,SKROVA FYR,NO,68.150278,14.650556,11
1057,BARDUFOSS,NO,69.058889,18.540278,76
1058,SIHCCAJAVRI,NO,68.755278,23.538333,382
1059,FRUHOLMEN FYR,NO,71.093056,23.995,13
1067,BARENÑBURG,RU,78.066667,14.25,73
1068,TERIBERKA,RU,69.2,35.116667,33
1077,KRASNOSCEL'E,RU,67.349722,37.05,155
1084,UMBA,RU,66.683056,34.35,39
1088,UXTA KALEVALA,RU,65.216667,31.15,118
1093,MEZEN',RU,65.866667,44.216667,14
1104,REBOLY',RU,63.833056,30.816667,180
1105,PADANY',RU,63.266667,33.416667,130
1127,VY'BORG,RU,60.716667,28.733056,10
1139,BELOGORKA,RU,59.35,30.133056,88
1143,TIXVIN,RU,59.65,33.549722,60
1145,GDOV,RU,58.733056,27.833056,39
1152,STARAYA RUSSA,RU,58.016667,31.316667,24
1157,BOLOGOE,RU,57.9,34.049722,186
1158,PUSHKINSKIE GORY',RU,57.016667,28.9,108
1172,KRASNAYA GORA,RU,53.016667,31.6,147
1173,TRUBCHEVSK,RU,52.583056,33.766667,177
1236,SUXINICHI,RU,54.1,35.35,237
1268,PONY'RI,RU,52.316667,36.316389,247
1280,BOGORODIÑKOE-FENINO,RU,51.166667,37.35,223
1287,GOTNYA,RU,50.8,35.766667,225
1379,GROZNY'J,RU,43.35,45.683056,162
1388,IZANA,ES,28.308889,16.499167,2371
1389,MELILLA,ES,35.277778,2.955278,47
1393,BILBAO AEROPUERTO,ES,43.298056,2.905556,42
1394,SANTIAGO DE COMPOSTELA/LABACOLLA,ES,42.887778,8.410556,370
1395,VIGO PEINADOR,ES,42.239167,8.623889,261
1396,PONFERRADA,ES,42.563889,6.6,534
1397,LEON VIRGEN DEL CAMINO,ES,42.588889,5.649167,916
1398,LOGRONO-AGONCILLO,ES,42.451944,2.330833,353
1399,ZAMORA,ES,41.516667,5.733333,656
1401,REUS/AEROPUERTO,ES,41.149444,1.178889,71
1404,MURCIA/SAN JAVIER,ES,37.788889,0.803056,4
1405,JEREZ DE LA FRONTERA,ES,36.750556,6.055556,27
1406,TARIFA,ES,36.015278,5.5975,32
1409,KARESUANDO,SE,68.441944,22.450278,330
1411,PAJALA,SE,67.209722,23.392778,168
1412,LULEA FLYGPLATS,SE,65.543056,22.119167,17
1413,HARSFJARDEN,SE,59.07,18.12,4
1414,SVENSKA HOGARNA,SE,59.444167,19.505556,12
1415,SAVE,SE,57.78,11.88,20
1416,SATENAS,SE,58.435556,12.7075,54
1417,BARKAKRA,SE,56.29,12.85,20
1418,FALSTERBO,SE,55.38,12.82,5
1419,RONNEBY-BREDAKRA,SE,56.26,15.27,58
1421,KARLSHAMN,SE,56.18,14.85,50
1422,BORAS,SE,57.76,12.95,135
1423,OLANDS NORRA UDDE,SE,57.37,17.1,4
1424,LANDSORT,SE,58.74,17.87,18
1426,FORSE,SE,63.14,16.989722,120
1427,JACKVIK,SE,66.379722,17.0,430
1428,ARJEPLOG A,SE,66.052222,17.843056,431
1430,VITTANGI,SE,67.68,21.63,250
1439,VAN,TR,38.45,43.32,1662
1461,KONOTOP,UA,51.233056,33.2,144
1470,ROVNO,UA,50.6,26.2,234
1472,SHEPETIVKA,UA,50.17,27.05,277
1482,LUBNY,UA,50.02,33.0,156
1490,TERNOPOL,UA,49.57,25.6,334
1496,IMENI_STARCENKO,UA,49.7,31.0,151
1513,VINNYTSIA,UA,49.233056,28.6,298
1519,UMAN,UA,48.77,30.23,214
1548,LJUBASEVKA,UA,47.9,30.3,182
1571,CHERNOMORSKOYE,UA,45.52,32.7,3
1585,KERCH,UA,45.374167,36.414444,46
1649,COL DU GRAND ST-BERNARD,CH,45.866667,7.166667,2472
1662,SION 2,CH,46.216667,7.333056,482
1681,SPLIT MARJAN,HR,43.516667,16.433056,122
1682,LASTOVO,HR,42.766667,16.899444,186
1683,RIJEKA,HR,45.333056,14.45,120
1684,GOSPIC,HR,44.55,15.366667,564
1685,OSIJEK,HR,45.533056,18.633056,88
1686,HVAR,HR,43.166667,16.45,20
1687,ZAVIZAN,HR,44.816667,14.983056,1594
1718,DUBLIN AIRPORT,IE,53.428056,6.240833,71
1752,KREDARICA,SI,46.378333,13.848889,2513
1756,MARKREE CASTLE,IE,54.175,8.455833,39
1800,AUCHINCRUIVE,GB,55.476667,4.565833,48
1802,THREAVE,GB,54.925,3.95,73
1803,RONALDSWAY,GB,54.085,4.633056,16
1806,PRESTON: MOOR PARK,GB,53.773889,2.703056,33
1810,ABERPORTH,GB,52.138889,4.571667,133
1811,GOGERDDAN,GB,52.431667,4.019722,31
1812,YEOVILTON,GB,51.005833,2.64,20
1813,SWANAGE,GB,50.613889,1.958056,10
1814,PLYMOUTH: MOUNTBATTEN,GB,50.353889,4.120833,50
1815,SLAPTON,GB,50.291667,3.650833,32
1817,BUDE,GB,50.828056,4.545833,15
1818,BRAEMAR,GB,57.005833,3.396667,339
1819,BALMORAL,GB,57.036667,3.22,283
1821,STORMONT CASTLE,GB,54.603056,5.828889,56
1822,LOUGH NAVAR FOREST,GB,54.438889,7.903056,126
1823,GUERNSEY: AIRPORT,GB,49.433056,2.6,101
1824,JERSEY: AIRPORT,GB,49.216667,2.2,84
1825,DYCE,GB,57.205,2.203889,65
1827,TIREE,GB,56.496667,6.886667,9
1830,LEUCHARS,GB,56.376667,2.861667,10
1832,EDINBURGH: ROYAL BOTANIC GARDEN,GB,55.966667,3.21,26
1833,DUNBAR,GB,56.003889,2.525833,23
1837,MORPETH: COCKLE PARK,GB,55.215,1.685833,95
1838,HIGH MOWTHORPE,GB,54.105,0.641667,175
1839,SKEGNESS,GB,53.1475,0.347778,6
1842,WATTISHAM,GB,52.123056,0.961667,89
1844,ROTHAMSTED,GB,51.805833,0.358056,128
1845,WRITTLE,GB,51.731667,0.430833,32
1847,BRADFORD,GB,53.813056,1.771944,134
1848,SHEFFIELD,GB,53.380556,1.489444,131
1849,BUXTON,GB,53.2575,1.911944,307
1850,NOTTINGHAM: WATNALL,GB,53.005,1.25,117
1853,WELLESBOURNE,GB,52.205833,1.603056,47
1854,KEELE,GB,52.998056,2.27,179
1860,HEATHROW,GB,51.478889,0.448889,25
1862,MANSTON,GB,51.345833,1.34,49
1863,BOGNOR REGIS,GB,50.780833,0.675833,7
1865,HASTINGS,GB,50.855,0.571667,45
1867,HURN,GB,50.778889,1.833889,10
1870,HAYLING ISLAND,GB,50.783889,0.983889,4
1871,ALICE HOLT LODGE,GB,51.176667,0.848056,115
1872,LYNEHAM,GB,51.501667,1.990833,145
2006,BROCKEN,DE,51.8,10.62,1142
2022,KOSZALIN,PL,54.204167,16.155278,33
2023,KETRZYN,PL,54.07,21.37,108
2024,SUWALKI,PL,54.130556,22.948889,184
2026,CHOJNICE,PL,53.715278,17.532222,164
2027,TORUN,PL,53.041667,18.595556,69
2028,MLAWA,PL,53.104167,20.360833,147
2029,GORZOW WLKP,PL,52.740833,15.276944,71
2031,ZIELONA GORA,PL,51.93,15.524444,192
2032,KALISZ,PL,51.73,18.079722,140
2036,KLODZKO,PL,50.436667,16.614167,356
2037,KATOWICE,PL,50.240556,19.032778,278
2038,KIELCE,PL,50.810556,20.691944,260
2042,SZOMBATHELY,HU,47.198056,16.647778,200
2056,BOTOSANI,RO,47.68,26.67,161
2057,CEAHLAU TOACA,RO,46.93,25.92,1897
2058,CARANSEBES,RO,45.42,22.25,241
2059,GALATI,RO,45.5,28.02,71
2060,RAMNICU VALCEA,RO,45.1,24.37,239
2061,CRAIOVA,RO,44.23,23.87,192
2062,CONSTANTA,RO,44.22,28.63,13
2082,MONTE CIMONE,IT,44.2,10.7,2165
2135,ROCHES POINT,IE,51.793056,8.243889,43
2139,SHANNON,IE,52.69,8.918056,6
2180,PAYERNE,CH,46.816667,6.95,490
2184,ROUEN - BOOS,FR,49.383056,1.181667,151
2190,TOURS,FR,47.444167,0.726944,108
2192,BASEL-MULHOUSE,FR,47.614167,7.51,263
2195,LIMOGES - BELLEGARDE,FR,45.860833,1.175,402
2199,GOURDON,FR,44.745,1.396667,260
2200,MILLAU,FR,44.118333,3.018333,712
2203,MONT-DE-MARSAN,FR,43.909444,0.500278,59
2207,MONTPELLIER-AEROPORT,FR,43.576667,3.963056,2
2209,AJACCIO,FR,41.918056,8.792778,5
2215,ANDOYA,NO,69.3,16.149722,14
2216,SLETTNES FYR,NO,71.083889,28.217778,8
2230,BERGEN/FLESLAND,NO,60.289167,5.226389,48
2240,INEBOLU,TR,41.98,33.78,64
2241,EDIRNE,TR,41.67,26.57,48
2242,TEKIRDAG,TR,40.98,27.48,4
2243,MERZIFON,TR,40.85,35.58,545
2244,ERZINCAN,TR,39.73,39.5,1156
2245,CANAKKALE,TR,40.13,26.4,3
2246,BANDIRMA,TR,40.32,27.97,51
2247,BURSA,TR,40.18,29.07,101
2248,ESKISEHIR,TR,39.78,30.57,785
2249,BALIKESIR,TR,39.62,27.92,101
2251,AFYON,TR,38.75,30.53,1034
2252,KAYSERI/ERKILET,TR,38.78,35.479722,1053
2253,MALATYA/ERHAC,TR,38.43,38.08,862
2255,KONYA,TR,37.97,32.549722,1032
2262,MASESKAR,SE,58.1,11.35,14
2263,MALILLA,SE,57.391667,15.913333,100
2264,BRYANSK,RU,53.25,34.316667,214
2269,PELLO KK MUSEOTIE,FI,66.772222,23.966944,84
2563,DEELEN,NL,52.055,5.871944,50
2566,EINDHOVEN,NL,51.449444,5.376667,22
2569,TWENTHE,NL,52.273056,6.890556,33
2570,VALKENBURG,NL,52.170278,4.429167,0
2574,FOKSTUGU,NO,62.114167,9.286944,972
2575,KONGSBERG II/III,NO,59.663056,9.648056,171
